,trip_id,uniqueid,qmodegrouping_Bike,qmodegrouping_Bus,qmodegrouping_Car,qmodegrouping_Commuter Rail,qmodegrouping_Ferry,qmodegrouping_For-Hire Vehicle,qmodegrouping_Other,qmodegrouping_Subway,qmodegrouping_Walk,qsustainablemode_No,qsustainablemode_Yes
0,3101674,101674,1,0,0,0,0,0,0,0,0,0,1
1,11202717,10202717,1,0,0,0,0,0,0,0,0,0,1
2,12202717,10202717,1,0,0,0,0,0,0,0,0,0,1
3,51200330,50200330,1,0,0,0,0,0,0,0,0,0,1
4,52200330,50200330,1,0,0,0,0,0,0,0,0,0,1
5,53200330,50200330,1,0,0,0,0,0,0,0,0,0,1
6,54200330,50200330,1,0,0,0,0,0,0,0,0,0,1
7,1100140,100140,1,0,0,0,0,0,0,0,0,0,1
8,1101712,101712,1,0,0,0,0,0,0,0,0,0,1
9,1102096,102096,1,0,0,0,0,0,0,0,0,0,1
10,1102138,102138,1,0,0,0,0,0,0,0,0,0,1
11,1103058,103058,1,0,0,0,0,0,0,0,0,0,1
12,1103224,103224,1,0,0,0,0,0,0,0,0,0,1
13,1103291,103291,1,0,0,0,0,0,0,0,0,0,1
14,1103836,103836,1,0,0,0,0,0,0,0,0,0,1
15,2100140,100140,1,0,0,0,0,0,0,0,0,0,1
16,2103058,103058,1,0,0,0,0,0,0,0,0,0,1
17,2103291,103291,1,0,0,0,0,0,0,0,0,0,1
18,2103639,103639,1,0,0,0,0,0,0,0,0,0,1
19,3100140,100140,1,0,0,0,0,0,0,0,0,0,1
20,3103836,103836,1,0,0,0,0,0,0,0,0,0,1
21,4100749,100749,1,0,0,0,0,0,0,0,0,0,1
22,4103836,103836,1,0,0,0,0,0,0,0,0,0,1
23,5100749,100749,1,0,0,0,0,0,0,0,0,0,1
24,5105414,105414,1,0,0,0,0,0,0,0,0,0,1
25,11200646,10200646,1,0,0,0,0,0,0,0,0,0,1
26,11200778,10200778,1,0,0,0,0,0,0,0,0,0,1
27,11200820,10200820,1,0,0,0,0,0,0,0,0,0,1
28,11201142,10201142,1,0,0,0,0,0,0,0,0,0,1
29,11202001,10202001,1,0,0,0,0,0,0,0,0,0,1
30,11203715,10203715,1,0,0,0,0,0,0,0,0,0,1
31,12200646,10200646,1,0,0,0,0,0,0,0,0,0,1
32,12200820,10200820,1,0,0,0,0,0,0,0,0,0,1
33,12201142,10201142,1,0,0,0,0,0,0,0,0,0,1
34,12202276,10202276,1,0,0,0,0,0,0,0,0,0,1
35,13200820,10200820,1,0,0,0,0,0,0,0,0,0,1
36,13200998,10200998,1,0,0,0,0,0,0,0,0,0,1
37,13202276,10202276,1,0,0,0,0,0,0,0,0,0,1
38,13202701,10202701,1,0,0,0,0,0,0,0,0,0,1
39,14200820,10200820,1,0,0,0,0,0,0,0,0,0,1
40,14200998,10200998,1,0,0,0,0,0,0,0,0,0,1
41,15204136,10204136,1,0,0,0,0,0,0,0,0,0,1
42,16204136,10204136,1,0,0,0,0,0,0,0,0,0,1
43,20204136,10204136,1,0,0,0,0,0,0,0,0,0,1
44,51200019,50200019,1,0,0,0,0,0,0,0,0,0,1
45,51200985,50200985,1,0,0,0,0,0,0,0,0,0,1
46,51200991,50200991,1,0,0,0,0,0,0,0,0,0,1
47,51201021,50201021,1,0,0,0,0,0,0,0,0,0,1
48,51201530,50201530,1,0,0,0,0,0,0,0,0,0,1
49,51201611,50201611,1,0,0,0,0,0,0,0,0,0,1
50,51201756,50201756,1,0,0,0,0,0,0,0,0,0,1
51,51202535,50202535,1,0,0,0,0,0,0,0,0,0,1
52,51202621,50202621,1,0,0,0,0,0,0,0,0,0,1
53,51202733,50202733,1,0,0,0,0,0,0,0,0,0,1
54,52200563,50200563,1,0,0,0,0,0,0,0,0,0,1
55,52200787,50200787,1,0,0,0,0,0,0,0,0,0,1
56,1100116,100116,0,0,0,0,0,0,0,0,1,0,1
57,52200991,50200991,1,0,0,0,0,0,0,0,0,0,1
58,52201021,50201021,1,0,0,0,0,0,0,0,0,0,1
59,52201062,50201062,1,0,0,0,0,0,0,0,0,0,1
60,52201530,50201530,1,0,0,0,0,0,0,0,0,0,1
61,52201611,50201611,1,0,0,0,0,0,0,0,0,0,1
62,52201756,50201756,1,0,0,0,0,0,0,0,0,0,1
63,52202535,50202535,1,0,0,0,0,0,0,0,0,0,1
64,52202621,50202621,1,0,0,0,0,0,0,0,0,0,1
65,53200019,50200019,1,0,0,0,0,0,0,0,0,0,1
66,53200716,50200716,1,0,0,0,0,0,0,0,0,0,1
67,53200787,50200787,1,0,0,0,0,0,0,0,0,0,1
68,53200991,50200991,1,0,0,0,0,0,0,0,0,0,1
69,53201530,50201530,1,0,0,0,0,0,0,0,0,0,1
70,53202733,50202733,1,0,0,0,0,0,0,0,0,0,1
71,53203033,50203033,1,0,0,0,0,0,0,0,0,0,1
72,54200173,50200173,1,0,0,0,0,0,0,0,0,0,1
73,54203033,50203033,1,0,0,0,0,0,0,0,0,0,1
74,55200716,50200716,1,0,0,0,0,0,0,0,0,0,1
75,55203033,50203033,1,0,0,0,0,0,0,0,0,0,1
76,1100012,100012,0,0,0,0,0,0,0,1,0,0,1
77,1100013,100013,0,0,0,0,0,0,0,0,1,0,1
78,1100017,100017,0,1,0,0,0,0,0,0,0,0,1
79,1100019,100019,0,1,0,0,0,0,0,0,0,0,1
80,1100020,100020,0,1,0,0,0,0,0,0,0,0,1
81,1100021,100021,0,0,0,0,0,0,0,0,1,0,1
82,1100023,100023,0,0,0,0,0,0,0,1,0,0,1
83,1100028,100028,0,0,0,0,0,0,0,1,0,0,1
84,1100031,100031,0,0,0,0,0,0,0,1,0,0,1
85,1100034,100034,0,0,0,0,0,0,0,0,1,0,1
86,1100036,100036,0,0,0,0,0,0,0,1,0,0,1
87,1100050,100050,0,1,0,0,0,0,0,0,0,0,1
88,1100058,100058,0,0,0,0,0,0,0,0,1,0,1
89,1100063,100063,0,0,0,0,0,0,0,1,0,0,1
90,1100067,100067,0,0,0,0,0,0,0,0,1,0,1
91,1100071,100071,0,0,0,0,0,0,0,1,0,0,1
92,1100075,100075,0,0,0,0,0,0,0,0,1,0,1
93,1100079,100079,0,0,0,0,1,0,0,0,0,0,1
94,1100081,100081,0,0,0,0,0,0,0,1,0,0,1
95,1100085,100085,0,0,0,0,0,0,0,0,1,0,1
96,1100090,100090,0,0,0,0,0,0,0,0,1,0,1
97,1100091,100091,0,0,1,0,0,0,0,0,0,1,0
98,1100092,100092,0,0,0,0,0,0,0,0,1,0,1
99,1100093,100093,0,0,0,0,0,0,0,1,0,0,1
100,1100094,100094,0,0,0,0,0,0,1,0,0,1,0
101,1100099,100099,0,0,1,0,0,0,0,0,0,1,0
102,1100104,100104,0,0,0,0,0,0,0,1,0,0,1
103,1100107,100107,0,0,0,0,0,0,0,1,0,0,1
104,1100112,100112,0,0,0,0,0,0,0,1,0,0,1
105,1100115,100115,0,0,1,0,0,0,0,0,0,1,0
106,1100121,100121,0,0,0,0,0,0,0,0,1,0,1
107,1100129,100129,0,0,0,0,0,0,0,0,1,0,1
108,1100132,100132,0,0,1,0,0,0,0,0,0,1,0
109,1100136,100136,0,0,1,0,0,0,0,0,0,1,0
110,1100142,100142,0,0,0,0,0,0,0,1,0,0,1
111,1100143,100143,0,0,1,0,0,0,0,0,0,1,0
112,1100146,100146,0,1,0,0,0,0,0,0,0,0,1
113,1100155,100155,0,0,0,0,0,0,1,0,0,1,0
114,1100158,100158,0,0,0,0,0,0,0,0,1,0,1
115,1100160,100160,0,0,0,0,0,0,1,0,0,1,0
116,1100161,100161,0,1,0,0,0,0,0,0,0,0,1
117,1100163,100163,0,0,0,0,0,0,0,0,1,0,1
118,1100166,100166,0,0,1,0,0,0,0,0,0,1,0
119,1100167,100167,0,0,0,0,0,0,0,1,0,0,1
120,1100170,100170,0,0,0,0,0,0,0,0,1,0,1
121,1100171,100171,0,0,1,0,0,0,0,0,0,1,0
122,1100175,100175,0,0,0,0,0,0,0,0,1,0,1
123,1100178,100178,0,1,0,0,0,0,0,0,0,0,1
124,1100181,100181,0,0,1,0,0,0,0,0,0,1,0
125,1100182,100182,0,0,1,0,0,0,0,0,0,1,0
126,1100183,100183,0,0,1,0,0,0,0,0,0,1,0
127,1100186,100186,0,0,0,0,0,0,0,0,1,0,1
128,1100189,100189,0,0,0,0,0,0,0,0,1,0,1
129,1100190,100190,0,0,0,0,0,0,0,0,1,0,1
130,1100191,100191,0,0,0,0,0,0,0,1,0,0,1
131,1100194,100194,0,0,0,0,0,1,0,0,0,1,0
132,1100197,100197,0,0,1,0,0,0,0,0,0,1,0
133,1100201,100201,0,1,0,0,0,0,0,0,0,0,1
134,1100203,100203,0,0,1,0,0,0,0,0,0,1,0
135,1100204,100204,0,0,0,0,0,0,0,0,1,0,1
136,1100208,100208,0,0,0,0,0,0,0,0,1,0,1
137,1100209,100209,0,0,0,0,0,0,0,1,0,0,1
